anomaly_id,anomaly_category,anomaly_type,station_names,event_start,event_end,affected_feature,severity,affected_rows,removed_rows,added_rows,description,removed_record_json
SF_DROP_0044,SENSOR_FAULT,SUDDEN_DROP,Sundernagar / Sundarnagar,2023-10-25,2023-10-25,avg_temp,medium,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0045,SENSOR_FAULT,SUDDEN_DROP,Coimbatore / Peelamedu,2023-01-08,2023-01-08,avg_temp,medium,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0046,SENSOR_FAULT,SUDDEN_DROP,Patiala,2022-09-15,2022-09-15,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0047,SENSOR_FAULT,SUDDEN_DROP,Coimbatore / Peelamedu,2024-12-31,2024-12-31,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0048,SENSOR_FAULT,SUDDEN_DROP,Una,2023-07-05,2023-07-05,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0049,SENSOR_FAULT,SUDDEN_DROP,Shimla / Kanda,2024-05-24,2024-05-24,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0050,SENSOR_FAULT,SUDDEN_DROP,Bikaner,2023-11-09,2023-11-09,avg_temp,medium,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0051,SENSOR_FAULT,SUDDEN_DROP,Cochin Int. Airport / Kaladi,2022-12-21,2022-12-21,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0052,SENSOR_FAULT,SUDDEN_DROP,Chandigarh / Surajpur,2022-05-18,2022-05-18,avg_temp,medium,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0053,SENSOR_FAULT,SUDDEN_DROP,Mandi,2024-05-20,2024-05-20,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0054,SENSOR_FAULT,SUDDEN_DROP,Una,2025-01-23,2025-01-23,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0055,SENSOR_FAULT,SUDDEN_DROP,Ambala,2023-10-16,2023-10-16,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0056,SENSOR_FAULT,SUDDEN_DROP,Ludhiana,2023-08-11,2023-08-11,avg_temp,medium,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0057,SENSOR_FAULT,SUDDEN_DROP,Mandi,2024-12-30,2024-12-30,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0058,SENSOR_FAULT,SUDDEN_DROP,Cochin Int. Airport / Kaladi,2024-11-03,2024-11-03,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0059,SENSOR_FAULT,SUDDEN_DROP,Cochin Int. Airport / Kaladi,2024-08-19,2024-08-19,avg_temp,medium,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0060,SENSOR_FAULT,SUDDEN_DROP,Palakkad,2023-05-21,2023-05-21,avg_temp,medium,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0061,SENSOR_FAULT,SUDDEN_DROP,Ludhiana,2022-09-24,2022-09-24,avg_temp,medium,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0062,SENSOR_FAULT,SUDDEN_DROP,Patiala,2023-12-07,2023-12-07,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0063,SENSOR_FAULT,SUDDEN_DROP,Mandi,2023-06-28,2023-06-28,avg_temp,medium,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0064,SENSOR_FAULT,SUDDEN_DROP,Thrissur,2021-05-25,2021-05-25,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0065,SENSOR_FAULT,SUDDEN_DROP,Bikaner,2022-09-26,2022-09-26,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0066,SENSOR_FAULT,SUDDEN_DROP,Ludhiana,2024-11-02,2024-11-02,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0067,SENSOR_FAULT,SUDDEN_DROP,Sundernagar / Sundarnagar,2021-09-23,2021-09-23,avg_temp,medium,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0068,SENSOR_FAULT,SUDDEN_DROP,Car Nicobar,2024-07-12,2024-07-12,avg_temp,medium,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0069,SENSOR_FAULT,SUDDEN_DROP,Ludhiana,2022-09-18,2022-09-18,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0070,SENSOR_FAULT,SUDDEN_DROP,Shimla / Kanda,2021-06-25,2021-06-25,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0071,SENSOR_FAULT,SUDDEN_DROP,Ambala,2022-06-13,2022-06-13,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0072,SENSOR_FAULT,SUDDEN_DROP,Cochin Int. Airport / Kaladi,2024-02-05,2024-02-05,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0073,SENSOR_FAULT,SUDDEN_DROP,Cochin Int. Airport / Kaladi,2024-01-09,2024-01-09,avg_temp,medium,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0074,SENSOR_FAULT,SUDDEN_DROP,Thrissur,2022-08-10,2022-08-10,avg_temp,medium,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0075,SENSOR_FAULT,SUDDEN_DROP,Chandigarh / Surajpur,2022-11-04,2022-11-04,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0076,SENSOR_FAULT,SUDDEN_DROP,Ludhiana,2021-10-10,2021-10-10,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0077,SENSOR_FAULT,SUDDEN_DROP,Mandi,2022-08-10,2022-08-10,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0078,SENSOR_FAULT,SUDDEN_DROP,Car Nicobar,2021-03-22,2021-03-22,avg_temp,medium,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0079,SENSOR_FAULT,SUDDEN_DROP,Cochin Int. Airport / Kaladi,2022-12-09,2022-12-09,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0080,SENSOR_FAULT,SUDDEN_DROP,Car Nicobar,2024-01-09,2024-01-09,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_STUCK_0081,SENSOR_FAULT,STUCK_AT,Sundernagar / Sundarnagar,2022-10-27,2022-10-31,relative_humidity,medium,5,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0082,SENSOR_FAULT,STUCK_AT,Sundernagar / Sundarnagar,2021-11-14,2021-11-20,relative_humidity,medium,7,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0083,SENSOR_FAULT,STUCK_AT,Car Nicobar,2021-07-28,2021-08-01,relative_humidity,medium,5,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0084,SENSOR_FAULT,STUCK_AT,Ambala,2023-04-25,2023-04-28,relative_humidity,medium,4,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0085,SENSOR_FAULT,STUCK_AT,Cochin Int. Airport / Kaladi,2021-01-27,2021-01-30,relative_humidity,medium,4,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0086,SENSOR_FAULT,STUCK_AT,Sundernagar / Sundarnagar,2024-05-14,2024-05-19,relative_humidity,medium,6,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0087,SENSOR_FAULT,STUCK_AT,Una,2021-08-10,2021-08-14,relative_humidity,medium,5,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0088,SENSOR_FAULT,STUCK_AT,Coimbatore / Peelamedu,2021-02-03,2021-02-08,relative_humidity,medium,6,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0089,SENSOR_FAULT,STUCK_AT,Chandigarh / Surajpur,2021-02-13,2021-02-18,relative_humidity,medium,6,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0090,SENSOR_FAULT,STUCK_AT,Palakkad,2022-12-10,2022-12-13,relative_humidity,medium,4,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0091,SENSOR_FAULT,STUCK_AT,Thrissur,2023-07-08,2023-07-14,relative_humidity,medium,7,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0092,SENSOR_FAULT,STUCK_AT,Chandigarh / Surajpur,2023-01-13,2023-01-17,relative_humidity,medium,5,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0093,SENSOR_FAULT,STUCK_AT,Una,2021-02-14,2021-02-17,relative_humidity,medium,4,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0094,SENSOR_FAULT,STUCK_AT,Shimla / Kanda,2024-12-17,2024-12-21,relative_humidity,medium,5,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0095,SENSOR_FAULT,STUCK_AT,Palakkad,2022-02-20,2022-02-25,relative_humidity,medium,6,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0096,SENSOR_FAULT,STUCK_AT,Chandigarh / Surajpur,2025-01-08,2025-01-12,relative_humidity,medium,5,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0097,SENSOR_FAULT,STUCK_AT,Una,2024-11-16,2024-11-22,relative_humidity,medium,7,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0098,SENSOR_FAULT,STUCK_AT,Una,2023-04-04,2023-04-08,relative_humidity,medium,5,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0099,SENSOR_FAULT,STUCK_AT,Sundernagar / Sundarnagar,2021-11-08,2021-11-12,relative_humidity,medium,5,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0100,SENSOR_FAULT,STUCK_AT,Cochin Int. Airport / Kaladi,2024-03-02,2024-03-08,relative_humidity,medium,7,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0101,SENSOR_FAULT,STUCK_AT,Patiala,2021-10-01,2021-10-06,relative_humidity,medium,6,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0102,SENSOR_FAULT,STUCK_AT,Car Nicobar,2022-03-19,2022-03-24,relative_humidity,medium,6,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0103,SENSOR_FAULT,STUCK_AT,Una,2024-05-25,2024-05-28,relative_humidity,medium,4,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0104,SENSOR_FAULT,STUCK_AT,Sundernagar / Sundarnagar,2024-04-19,2024-04-22,relative_humidity,medium,4,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0105,SENSOR_FAULT,STUCK_AT,Ludhiana,2021-02-27,2021-03-02,relative_humidity,medium,4,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0106,SENSOR_FAULT,STUCK_AT,Cochin Int. Airport / Kaladi,2025-01-23,2025-01-29,relative_humidity,medium,7,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0107,SENSOR_FAULT,STUCK_AT,Car Nicobar,2023-01-14,2023-01-18,relative_humidity,medium,5,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0108,SENSOR_FAULT,STUCK_AT,Cochin Int. Airport / Kaladi,2021-08-13,2021-08-19,relative_humidity,medium,7,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0109,SENSOR_FAULT,STUCK_AT,Thrissur,2021-02-05,2021-02-08,relative_humidity,medium,4,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0110,SENSOR_FAULT,STUCK_AT,Patiala,2022-08-23,2022-08-26,relative_humidity,medium,4,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0111,SENSOR_FAULT,STUCK_AT,Ambala,2021-02-10,2021-02-16,relative_humidity,medium,7,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0112,SENSOR_FAULT,STUCK_AT,Chandigarh / Surajpur,2023-02-08,2023-02-13,relative_humidity,medium,6,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0113,SENSOR_FAULT,STUCK_AT,Ambala,2021-07-14,2021-07-17,relative_humidity,medium,4,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0114,SENSOR_FAULT,STUCK_AT,Shimla / Kanda,2021-10-08,2021-10-12,relative_humidity,medium,5,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_STUCK_0115,SENSOR_FAULT,STUCK_AT,Thrissur,2023-10-13,2023-10-16,relative_humidity,medium,4,0,0,"Relative humidity remained fixed at the first observed value across consecutive readings, simulating a sensor that has become stuck.",
SF_DRIFT_0116,SENSOR_FAULT,GRADUAL_DRIFT,Cochin Int. Airport / Kaladi,2021-10-26,2021-11-04,relative_humidity,medium,10,0,0,"The relative humidity was changed by approximately -4.3 across the event, simulating gradual sensor drift rather than a sudden fault.",
SF_DRIFT_0117,SENSOR_FAULT,GRADUAL_DRIFT,Patiala,2023-01-04,2023-01-13,wind_speed,medium,10,0,0,"The wind speed was changed by approximately 3.4 across the event, simulating gradual sensor drift rather than a sudden fault.",
SF_DRIFT_0118,SENSOR_FAULT,GRADUAL_DRIFT,Car Nicobar,2024-01-21,2024-01-28,relative_humidity,high,8,0,0,"The relative humidity was changed by approximately 7.6 across the event, simulating gradual sensor drift rather than a sudden fault.",
SF_DRIFT_0119,SENSOR_FAULT,GRADUAL_DRIFT,Una,2024-01-17,2024-01-25,relative_humidity,high,9,0,0,"The relative humidity was changed by approximately 8.5 across the event, simulating gradual sensor drift rather than a sudden fault.",
SF_DRIFT_0120,SENSOR_FAULT,GRADUAL_DRIFT,Thrissur,2024-05-29,2024-06-07,air_pressure,medium,10,0,0,"The air pressure was changed by approximately -4.5 across the event, simulating gradual sensor drift rather than a sudden fault.",
SF_DRIFT_0121,SENSOR_FAULT,GRADUAL_DRIFT,Mandi,2023-03-23,2023-03-30,avg_temp,medium,8,0,0,"The average temperature was changed by approximately -5.8 across the event, simulating gradual sensor drift rather than a sudden fault.",
SF_DRIFT_0122,SENSOR_FAULT,GRADUAL_DRIFT,Ambala,2022-01-20,2022-01-27,relative_humidity,medium,8,0,0,"The relative humidity was changed by approximately -6.7 across the event, simulating gradual sensor drift rather than a sudden fault.",
